url,slug,title,category,published_date,word_count,intent_cluster,product_relevance,health_sensitive,author_present,reviewer_present,published_at_present,updated_at_present,sources_present,methodology_present,disclosure_present,search_console_status,backlink_status,provisional_action,provisional_destination,cannibalisation_signal,notes
/blog/2025-muscle-building-research-smart-training,2025-muscle-building-research-smart-training,Resistance-Training Evidence Roundup: What Recent Studies Actually Say,,,642,volume_and_programming,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Source-only inventory; demand and links not yet checked.
/blog/ai-fitness-programming-algorithms-2026,ai-fitness-programming-algorithms-2026,"AI Fitness Programming: Recommendations, Data, and Limits",,,1032,volume_and_programming,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/air-pollution-muscle-building-outdoor-training,air-pollution-muscle-building-outdoor-training,Air Pollution and Outdoor Training: What Lifters Need to Know,,,869,exercise_selection,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: exercise_selection (36 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/alcohol-muscle-growth-mtor-pathway-science,alcohol-muscle-growth-mtor-pathway-science,Alcohol and Muscle Growth: What It Can Change,Health,,781,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/alpha-lipoic-acid-lifters-insulin,alpha-lipoic-acid-lifters-insulin,Alpha-Lipoic Acid for Lifters: What the Evidence Shows,Supplements,2026-03-05,931,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/alternatives-to-rp-hypertrophy-app,alternatives-to-rp-hypertrophy-app,Alternatives to RP Hypertrophy App (2026): Best Options for Serious Lifters,Workout Apps,2026-05-27,4286,workout_apps_migration,medium,yes,no,no,no,yes,no,no,no,unknown,unknown,KEEP_AND_IMPROVE,/hevy-alternative,shared source-only cluster: workout_apps_migration (18 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/anabolic-resistance-older-adults-2026,anabolic-resistance-older-adults-2026,Anabolic Resistance: Protein and Muscle in Older Adults,,,685,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/anabolic-window-myth-2025,anabolic-window-myth-2025,The Anabolic Window: Protein Timing Without the Panic,Nutrition,,791,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/apply-hypertrophy-research-training-practical-guide,apply-hypertrophy-research-training-practical-guide,How to Apply Hypertrophy Research to Your Training,,,1110,volume_and_programming,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/ashwagandha-strength-training-supplement-science-2026,ashwagandha-strength-training-supplement-science-2026,Ashwagandha for Lifters: What the Exercise Evidence Shows,,,898,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/astaxanthin-supplementation-athletes,astaxanthin-supplementation-athletes,Astaxanthin for Athletes: What Exercise Research Shows,Supplements,2026-02-26,779,exercise_selection,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: exercise_selection (36 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/auto-progression-feature-muscle-growth,auto-progression-feature-muscle-growth,Auto-Progression: Turn Workout History Into a Next-Set Plan,,2026-03-04,651,progression_and_effort,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/progressive-overload,shared source-only cluster: progression_and_effort (45 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/autoprogression-science-2026,autoprogression-science-2026,Autoprogression: How to Choose the Next Training Load,,,766,progression_and_effort,medium,yes,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/progressive-overload,shared source-only cluster: progression_and_effort (45 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/autoregulation-vs-traditional-training,autoregulation-vs-traditional-training,Autoregulation Versus Fixed Loading: What the Evidence Says,,,728,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/beetroot-juice-nitrates-muscle-performance,beetroot-juice-nitrates-muscle-performance,Beetroot Juice and Nitrates for Lifting: What the Evidence Shows,,,668,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/bench-press-grip-width-chest-science,bench-press-grip-width-chest-science,"Bench-Press Grip Width: Strength, Comfort, and Trade-offs",,,624,recovery_and_health,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: recovery_and_health (52 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/best-hypertrophy-app-ios-review,best-hypertrophy-app-ios-review,Best Hypertrophy App for iOS: What Serious Lifters Should Look For,Workout Apps,2026-05-15,1150,workout_apps_migration,low,yes,no,no,no,yes,no,no,no,unknown,unknown,KEEP_AND_IMPROVE,/hevy-alternative,shared source-only cluster: workout_apps_migration (18 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/best-supplements-strength-athletes,best-supplements-strength-athletes,Best Supplements for Strength Athletes: Evidence-Based Priorities,Supplements,2026-02-26,742,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/best-workout-app-hypertrophy-2026,best-workout-app-hypertrophy-2026,Best Workout App for Hypertrophy: Features That Actually Matter,Workout Apps,2026-05-15,788,workout_apps_migration,medium,no,no,no,no,yes,no,no,no,unknown,unknown,KEEP_AND_IMPROVE,/hevy-alternative,shared source-only cluster: workout_apps_migration (18 URLs),Source-only inventory; demand and links not yet checked.
/blog/beta-alanine-strength-training-science-2026,beta-alanine-strength-training-science-2026,Beta-Alanine for Strength Training: Where It Fits,,,758,general_training,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: general_training (79 URLs),Source-only inventory; demand and links not yet checked.
/blog/beta-ecdysterone-muscle-anabolic-research,beta-ecdysterone-muscle-anabolic-research,Beta-Ecdysterone for Muscle Growth: Research Review,Supplements,2026-03-02,712,general_training,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: general_training (79 URLs),Source-only inventory; demand and links not yet checked.
/blog/beta-ecdysterone-muscle-growth,beta-ecdysterone-muscle-growth,Beta-Ecdysterone for Muscle Growth: A Cautious Guide,Supplements,2026-02-28,753,general_training,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/blog,shared source-only cluster: general_training (79 URLs),Source-only inventory; demand and links not yet checked.
/blog/betaine-supplementation-strength-power-science,betaine-supplementation-strength-power-science,Betaine Supplementation: What the Strength Evidence Shows,Supplements,2026-03-01,600,nutrition_and_supplements,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: nutrition_and_supplements (48 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/block-periodization-focused-training-phases,block-periodization-focused-training-phases,Block Periodization: When Focused Training Phases Make Sense,,,722,volume_and_programming,low,no,no,no,no,yes,no,no,no,unknown,unknown,REVIEW_AFTER_SEARCH_CONSOLE,/tools/weekly-volume-checker,shared source-only cluster: volume_and_programming (41 URLs),Source-only inventory; demand and links not yet checked.
/blog/blood-biomarkers-lifters-guide-2026,blood-biomarkers-lifters-guide-2026,Blood Tests for Lifters: What They Can and Cannot Tell You,,,1199,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/blood-flow-restriction-training-science,blood-flow-restriction-training-science,Blood-Flow-Restriction Training: What Light-Load Research Shows,,,787,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/blood-glucose-monitoring-lifters-cgm-muscle-building,blood-glucose-monitoring-lifters-cgm-muscle-building,Continuous Glucose Monitors for Lifters: What They Can Tell You,,,672,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
/blog/blood-pressure-resistance-training-lifting,blood-pressure-resistance-training-lifting,Blood Pressure and Resistance Training: A Safer Practical Guide,Health,,760,general_training,low,yes,no,no,no,yes,no,no,no,unknown,unknown,NOINDEX_OR_EXPERT_REVIEW,/blog,shared source-only cluster: general_training (79 URLs),Health-sensitive topic requires source and review audit before acquisition use.
